pf.txt	Playa fina				
Muestreo=	4				
Prof. Via1	0.13				
Prof. Via2	0.293				
Prof. Via3	0.455				
Prof. Via4	0.78				
PRES	DIAM	VIA1	VIA2	VIA3	VIA4
110590.1	2.00429	0.789	1.9444	1.9444	5.5782
110099.1	2.003176	0.4228	3.043	3.043	7.043
109528.1	1.999724	-0.31	3.043	3.043	7.7754
109047.3	1.997646	-1.042	3.4092	3.4092	9.2402
108416.4	1.996707	-1.408	4.1416	4.1416	9.2402
107775.6	1.995616	-1.042	4.874	4.874	9.6064
107259.9	1.993116	0.0566	5.2402	5.2402	9.2402
106806.7	1.991454	0.789	5.2402	5.2402	8.5078
106384.9	1.990399	1.5214	5.6064	5.6064	7.7754
105978.7	1.989254	1.1552	5.6064	5.6064	6.6768
105450.2	1.988174	0.4228	5.6064	5.6064	5.9444
105055.8	1.987006	0.0566	5.2402	5.2402	5.5782
104923.6	1.985808	0.0566	3.7754	3.7754	5.212
104532.1	1.984436	0.4228	3.4092	3.4092	5.212
104141.1	1.98325	0.789	3.4092	3.4092	4.8458
103945.6	1.981986	0.789	3.043	3.043	4.4794
104173.3	1.980752	1.1552	2.3106	2.3106	4.1132
104612.6	1.979346	0.789	1.5782	1.5782	3.3808
104571.9	1.978032	-0.31	1.9444	1.9444	3.0146
103965.7	1.976605	-1.042	1.9444	1.9444	1.5498
103532.5	1.975223	-2.506	0.8458	0.8458	0.8174
103315.8	1.973635	-2.874	0.4794	0.4794	0.085
102947.2	1.971864	-3.24	-0.62	-0.62	-0.648
102632.7	1.969437	-3.24	-0.62	-0.62	-0.648
102410.3	1.967743	-3.24	-0.986	-0.986	-1.38
102234.1	1.96612	-3.24	-0.986	-0.986	-1.746
102015.8	1.964512	-3.24	-1.718	-1.718	-1.38
101841.5	1.962771	-3.24	-1.718	-1.718	-1.746
101559.1	1.961058	-3.606	-1.718	-1.718	-1.38
101287.8	1.95932	-3.972	-2.084	-2.084	-1.746
101021.9	1.957265	-3.606	-2.084	-2.084	-2.112
100954.1	1.954437	-3.24	-2.816	-2.816	-2.844
101115.4	1.952577	-3.24	-2.45	-2.45	-3.578
101781.9	1.951295	-2.874	-2.816	-2.816	-4.31
102896.2	1.950043	-2.874	-2.45	-2.45	-4.676
104559.8	1.949309	-2.874	-3.182	-3.182	-5.042
106693.4	1.949088	-3.24	-3.548	-3.548	-5.408
108931.7	1.949625	-2.874	-3.916	-3.916	-5.774
111482.9	1.950548	-1.774	-4.282	-4.282	-5.408
114060.2	1.952016	-0.676	-3.548	-3.548	-4.31
116715.7	1.954758	0.0566	-2.084	-2.084	-2.478
119149.9	1.958401	1.8876	0.4794	0.4794	0.085
121473.5	1.962415	4.085	2.6768	2.6768	3.747
123741.9	1.966909	8.1132	5.2402	5.2402	7.7754
125787.2	1.971786	12.5078	7.8038	7.8038	12.9024
127591	1.976862	16.9024	11.4658	11.4658	18.7618
129273.9	1.982213	22.0292	15.8604	15.8604	23.5224
130896.4	1.987715	26.0576	20.9874	20.9874	27.917
132293.5	1.99301	28.9874	26.1142	26.1142	32.6778
133577.8	1.998363	29.7198	30.5088	30.5088	36.3398
134805.8	2.00372	29.7198	34.9034	34.9034	39.6358
135810.3	2.008933	29.3536	38.5654	38.5654	42.1992
136703	2.014114	30.4522	41.129	41.129	44.3964
137605.1	2.019023	31.917	41.8614	41.8614	46.5938
138381.5	2.023881	32.2832	41.4952	41.4952	48.4248
139095.1	2.025657	32.2832	41.8614	41.8614	50.2558
139712.3	2.027354	33.3818	42.5938	42.5938	52.4532
140216.1	2.031722	33.748	44.0586	44.0586	54.2842
140793.6	2.036339	35.2128	44.791	44.791	56.4814
141017.1	2.037947	35.5792	44.0586	44.0586	56.8476
141128.8	2.039541	34.8466	44.791	44.791	57.2138
141054.6	2.043376	32.2832	44.4248	44.4248	57.58
140757.2	2.047171	31.5508	43.6924	43.6924	57.9462
140282.9	2.048822	32.2832	43.3262	43.3262	56.8476
139525.2	2.050358	31.917	42.96	42.96	55.3828
138495.4	2.05316	31.5508	42.5938	42.5938	53.918
137199.4	2.055633	30.086	41.8614	41.8614	52.087
135640.2	2.057026	28.9874	40.7626	40.7626	51.3544
133689.1	2.057986	26.79	39.664	39.664	49.8896
131541.9	2.059291	24.5928	38.9316	38.9316	48.791
128841.1	2.059682	21.663	37.4668	37.4668	47.3262
126384.2	2.059494	18.001	36.3682	36.3682	45.8614
124374.7	2.058689	15.4376	34.5372	34.5372	42.9316
123304.9	2.05718	12.1416	31.9736	31.9736	39.6358
123485.9	2.055137	9.5782	29.044	29.044	35.2412
124292.4	2.053346	6.2822	25.748	25.748	30.4804
124370.2	2.051931	3.3526	22.8184	22.8184	26.086
123953.5	2.051294	0.4228	19.5224	19.5224	21.6914
123419.7	2.050721	-1.408	17.3252	17.3252	18.3956
122957.6	2.049862	-3.24	15.8604	15.8604	15.4658
122401	2.048551	-3.24	14.3956	14.3956	12.5362
121862.4	2.047174	-3.24	12.5644	12.5644	11.4376
121397.9	2.045788	-3.24	11.0996	11.0996	10.3388
121035.4	2.044541	-4.338	9.6348	9.6348	9.6064
120658.9	2.039941	-5.07	8.5362	8.5362	9.2402
120340.5	2.037809	-4.704	7.4376	7.4376	8.5078
119920.9	2.037359	-6.17	6.705	6.705	7.4092
119515.9	2.036759	-6.536	5.9726	5.9726	6.3106
119183.2	2.034113	-6.536	5.6064	5.6064	5.212
118951.7	2.032808	-6.902	4.5078	4.5078	4.4794
118640.8	2.032467	-7.634	3.4092	3.4092	4.1132
118290	2.031867	-8.732	1.9444	1.9444	3.747
117984.5	2.030885	-10.198	0.8458	0.8458	2.2822
117701.5	2.030148	-10.564	0.4794	0.4794	1.5498
117429.9	2.029828	-10.93	-0.254	-0.254	0.8174
117228.9	2.029345	-11.296	-1.352	-1.352	0.085
116998.3	2.028125	-11.662	-2.084	-2.084	-1.014
116817.9	2.027469	-12.028	-2.816	-2.816	-1.746
116727.7	2.027221	-12.394	-3.548	-3.548	-2.112
116617.5	2.026802	-13.494	-4.282	-4.282	-2.844
116432.2	2.026425	-13.86	-4.648	-4.648	-2.844
116274.5	2.026085	-14.226	-5.38	-5.38	-2.844
116130.6	2.025682	-14.592	-5.014	-5.014	-2.112
115798.2	2.025269	-14.592	-5.014	-5.014	-1.746
115697.2	2.024898	-14.592	-5.38	-5.38	-0.282
115386.3	2.024565	-14.226	-5.746	-5.746	0.4512
115230.8	2.024117	-13.86	-5.38	-5.38	1.916
115088	2.023813	-12.76	-5.014	-5.014	1.916
114951.5	2.022608	-12.028	-5.014	-5.014	2.6484
114818.2	2.019172	-11.296	-4.282	-4.282	3.747
114621.4	2.018431	-10.93	-5.014	-5.014	3.747
114392.8	2.018401	-10.198	-4.282	-4.282	4.4794
114213.4	2.017443	-9.464	-4.648	-4.648	4.8458
113993.5	2.014867	-8.732	-5.014	-5.014	5.5782
113623.2	2.014263	-8.366	-5.38	-5.38	6.3106
113307.9	2.014111	-8	-5.746	-5.746	6.6768
112889.9	2.013386	-7.268	-5.014	-5.014	7.043
112485.6	2.011999	-6.17	-4.648	-4.648	7.4092
112088.2	2.011339	-5.436	-3.916	-3.916	7.7754
